descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,1515.38219,0.018965061839064,0.000001570146703
Flood Fringe,100.000000000000000,null,0.013423425553602,0.000003332089279
Flood Fringe,100.000000000000000,null,0.009203470854915,0.000001027711479
Normal River Channel,500.000000000000000,1453.73768,0.016477888332551,0.000011113712168
Flood Fringe,100.000000000000000,1988.51626,0.020571286467813,0.000005322509818
Flood Fringe,100.000000000000000,null,0.002999494376047,0.000000398957356
Floodway,200.000000000000000,665.14915,0.008108937739029,0.000000964771306
Normal River Channel,500.000000000000000,3292.10808,0.039947127231441,0.000025680816553
Normal River Channel,500.000000000000000,1024.51296,0.011538052461330,0.000005716933597
Flood Fringe,100.000000000000000,429.16117,0.004692397109039,0.000001421019583
Floodway,200.000000000000000,20.29717,0.000233686897494,0.000000002732775
Floodway,200.000000000000000,125.55105,0.001637592047475,0.000000107467406
Normal River Channel,500.000000000000000,42.9696,0.000415765832201,0.000000007991710
Flood Fringe,100.000000000000000,null,0.003259903285832,0.000000270400807
Floodway,200.000000000000000,100.17254,0.001013946402385,0.000000038035317
Flood Fringe,100.000000000000000,null,0.001763401738130,0.000000023666887
Flood Fringe,100.000000000000000,529.7803,0.006826292288591,0.000000698076242
Flood Fringe,100.000000000000000,null,0.003212228445503,0.000000105930088
Normal River Channel,500.000000000000000,256.97277,0.003047489544763,0.000000099326887
Floodway,200.000000000000000,71.77359,0.000877133844726,0.000000041953949
Flood Fringe,100.000000000000000,null,0.000506494916848,0.000000011094505
Normal River Channel,500.000000000000000,56.16859,0.000737550969294,0.000000013535060
Flood Fringe,100.000000000000000,null,0.000632323778488,0.000000010743185
Normal River Channel,500.000000000000000,854.22484,0.010407065991148,0.000002294162387
Flood Fringe,100.000000000000000,null,0.000144786055028,0.000000000780536
Flood Fringe,100.000000000000000,null,0.002302644617702,0.000000074089851
Floodway,200.000000000000000,19022.22947,0.175440131602249,0.000075402309074
Floodway,200.000000000000000,321.85672,0.004181707568310,0.000000200257057
Normal River Channel,500.000000000000000,1417.61749,0.012596276807430,0.000000939159842
Normal River Channel,500.000000000000000,309.01738,0.003645673237087,0.000000571938063
Flood Fringe,100.000000000000000,1983.14406,0.026886389963889,0.000001897267269
Flood Fringe,100.000000000000000,null,0.006959857229129,0.000000265645728
Flood Fringe,100.000000000000000,null,0.012134973658568,0.000001958712143
Flood Fringe,100.000000000000000,null,0.000660180168543,0.000000013353732
Normal River Channel,500.000000000000000,34.81853,0.000399423434019,0.000000006977506
Floodway,200.000000000000000,1587.47398,0.017194967624793,0.000003906083401
Floodway,200.000000000000000,1098.82619,0.013514689427024,0.000001756705017
Flood Fringe,100.000000000000000,null,0.012937837895425,0.000005341284779
Flood Fringe,100.000000000000000,null,0.007617436829995,0.000000757042504
Floodway,200.000000000000000,217.24445,0.002443059029513,0.000000220228007
Normal River Channel,500.000000000000000,2318.15297,0.026980389840808,0.000000807675351
Normal River Channel,500.000000000000000,51.85649,0.000601240150011,0.000000015553544
Normal River Channel,500.000000000000000,134.23456,0.001561858909254,0.000000063370997
Normal River Channel,500.000000000000000,505.59245,0.005445797804731,0.000001257881790
Floodway,200.000000000000000,257.34711,0.003069806520259,0.000000357548524
Flood Fringe,100.000000000000000,null,0.000756027808182,0.000000014451937
Normal River Channel,500.000000000000000,275.92535,0.003152820983120,0.000000590599538
Floodway,200.000000000000000,615.79426,0.008310288369418,0.000000447810007
Flood Fringe,100.000000000000000,null,0.000104056220626,0.000000000515377
Floodway,200.000000000000000,60.58974,0.000651422912312,0.000000004349946
Flood Fringe,100.000000000000000,null,0.009165032702291,0.000001541495656
Flood Fringe,100.000000000000000,7860.10801,0.092869657772093,0.000048108730495
Flood Fringe,100.000000000000000,null,0.009222255127884,0.000001974801098
Flood Fringe,100.000000000000000,null,0.001966471795905,0.000000157981800
Flood Fringe,100.000000000000000,null,0.000544952047248,0.000000008465603
Floodway,200.000000000000000,85.70396,0.000969590831653,0.000000055408144
Normal River Channel,500.000000000000000,875.29297,0.009977499960633,0.000002302527229
Floodway,200.000000000000000,155.34219,0.001658323367325,0.000000043913296
Floodway,200.000000000000000,456.95788,0.004911230321745,0.000000625837452
Normal River Channel,500.000000000000000,551.44244,0.006025821854733,0.000002538092687
Normal River Channel,500.000000000000000,423.87622,0.005120944627043,0.000000006782078
Flood Fringe,100.000000000000000,null,0.012362299124853,0.000001372690909
Flood Fringe,100.000000000000000,null,0.004062469763478,0.000000519301580
Floodway,200.000000000000000,null,1.117845121742054,0.000116819978820
Flood Fringe,100.000000000000000,null,0.002673141231869,0.000000324164950
Normal River Channel,500.000000000000000,3358.73643,0.043148328718512,0.000007065013785
Flood Fringe,100.000000000000000,9425.27013,0.104517564111819,0.000071195008450
Flood Fringe,100.000000000000000,184.10642,0.002378843943864,0.000000005504228
Flood Fringe,100.000000000000000,5183.69194,0.060703705822819,0.000019355716669
Flood Fringe,100.000000000000000,118.66981,0.001504032200744,0.000000001425958
Flood Fringe,100.000000000000000,1525.59306,0.020132316849645,0.000002429287664
Floodway,200.000000000000000,25.48691,0.000334911455799,0.000000004130304
Flood Fringe,100.000000000000000,2622.74767,0.030786255327751,0.000021968129973
Floodplain,400.000000000000000,825.14054,0.009898216280380,0.000001951256959
Flood Fringe,100.000000000000000,452.93597,0.004979783777273,0.000001606162802
Floodway,200.000000000000000,102.98013,0.001277112643396,0.000000053248113
Flood Fringe,100.000000000000000,null,0.006185278330859,0.000001041623505
Floodway,200.000000000000000,292.25729,0.003154568477268,0.000000259307309
Flood Fringe,100.000000000000000,null,0.011072717812018,0.000001329169783
Normal River Channel,500.000000000000000,215.68311,0.002131948697632,0.000000044846405
Flood Fringe,100.000000000000000,null,0.001922891230137,0.000000081917678
Flood Fringe,100.000000000000000,260.74384,0.002772281575095,0.000000000534283
Floodway,200.000000000000000,549.36295,0.006019062049879,0.000001966654798
Floodway,200.000000000000000,427.94289,0.006051489294695,0.000000122262726
Normal River Channel,500.000000000000000,331.53722,0.003504783272353,0.000000239569133
Floodway,200.000000000000000,2718.01802,0.034807819530966,0.000019865172487
Floodway,200.000000000000000,23.50481,0.000312727419007,0.000000003374016
Flood Fringe,100.000000000000000,null,0.017431175623950,0.000001475924446
Flood Fringe,100.000000000000000,null,0.004043505374368,0.000000461277751
Floodway,200.000000000000000,134.90755,0.001414207782219,0.000000080541274
Normal River Channel,500.000000000000000,210.65403,0.001435621418205,0.000000028730232
Normal River Channel,500.000000000000000,258.69052,0.002792452135659,0.000000102394578
Flood Fringe,100.000000000000000,3093.50111,0.042624793456026,0.000005722071010
Flood Fringe,100.000000000000000,329.42057,0.004244754645889,0.000000078555442
Normal River Channel,500.000000000000000,764.28548,0.009500317526021,0.000003814678524
Flood Fringe,100.000000000000000,null,0.001752362024263,0.000000022638670
Flood Fringe,100.000000000000000,null,0.000128555832346,0.000000000588144
Normal River Channel,500.000000000000000,71.30706,0.000567441582808,0.000000008111152
Floodway,200.000000000000000,103.03227,0.001190836928615,0.000000073416866
Flood Fringe,100.000000000000000,16247.11606,0.191859140615685,0.000189049317455
Flood Fringe,100.000000000000000,null,0.002557854886569,0.000000117639699
Floodway,200.000000000000000,47.93937,0.000528846118525,0.000000008977155
Floodway,200.000000000000000,135.3902,0.001751386794770,0.000000079447639
